iso_code,first_letter,date,indicator,value,indicator_name
Mauritius,M,01-May-22,Daily Vaccinations,1436,Daily Vaccinations
Morocco,M,15-May-22,Daily Vaccinations,7886,Daily Vaccinations
Mozambique,M,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Namibia,N,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Niger,N,15-May-22,Daily Vaccinations,10899,Daily Vaccinations
Nigeria,N,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Rwanda,R,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Saint Helena,S,05-May-21,Daily Vaccinations,97,Daily Vaccinations
Sao Tome & P.,S,08-May-22,Daily Vaccinations,219,Daily Vaccinations
Senegal,S,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Seychelles,S,08-May-22,Daily Vaccinations,0,Daily Vaccinations
Sierra Leone,S,01-May-22,Daily Vaccinations,0,Daily Vaccinations
Somalia,S,13-May-22,Daily Vaccinations,877,Daily Vaccinations
South Africa,S,18-May-22,Daily Vaccinations,44813,Daily Vaccinations
South Sudan,S,15-May-22,Daily Vaccinations,1728,Daily Vaccinations
Sudan,S,01-May-22,Daily Vaccinations,1785,Daily Vaccinations
Swaziland,S,26-Apr-22,Daily Vaccinations,702,Daily Vaccinations
Tanzania,T,01-May-22,Daily Vaccinations,97010,Daily Vaccinations
Togo,T,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Tunisia,T,09-May-22,Daily Vaccinations,2967,Daily Vaccinations
Uganda,U,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Zambia,Z,16-May-22,Daily Vaccinations,19911,Daily Vaccinations
Zimbabwe,Z,18-May-22,Daily Vaccinations,107876,Daily Vaccinations
Algeria,A,18-May-22,Total Confirmed Cases,265834,Total Confirmed Cases
Angola,A,18-May-22,Total Confirmed Cases,99287,Total Confirmed Cases
Benin,B,18-May-22,Total Confirmed Cases,26952,Total Confirmed Cases
Botswana,B,18-May-22,Total Confirmed Cases,306614,Total Confirmed Cases
Burkina Faso,B,18-May-22,Total Confirmed Cases,20899,Total Confirmed Cases
Burundi,B,18-May-22,Total Confirmed Cases,41606,Total Confirmed Cases
C.A.R,C,18-May-22,Total Confirmed Cases,14649,Total Confirmed Cases
Cameroon,C,18-May-22,Total Confirmed Cases,119780,Total Confirmed Cases
Cape Verde,C,18-May-22,Total Confirmed Cases,56127,Total Confirmed Cases
Chad,C,18-May-22,Total Confirmed Cases,7415,Total Confirmed Cases
Comoros,C,18-May-22,Total Confirmed Cases,8110,Total Confirmed Cases
Congo,C,18-May-22,Total Confirmed Cases,24079,Total Confirmed Cases
Cote d'Ivoire,C,18-May-22,Total Confirmed Cases,82020,Total Confirmed Cases
D.R.C,D,18-May-22,Total Confirmed Cases,87633,Total Confirmed Cases
Djibouti,D,18-May-22,Total Confirmed Cases,15631,Total Confirmed Cases
Egypt,E,18-May-22,Total Confirmed Cases,515645,Total Confirmed Cases
Eq. Guinea,E,18-May-22,Total Confirmed Cases,15910,Total Confirmed Cases
Eritrea,E,18-May-22,Total Confirmed Cases,9751,Total Confirmed Cases
Ethiopia,E,18-May-22,Total Confirmed Cases,471089,Total Confirmed Cases
Gabon,G,18-May-22,Total Confirmed Cases,47608,Total Confirmed Cases
Gambia,G,18-May-22,Total Confirmed Cases,11999,Total Confirmed Cases
Ghana,G,18-May-22,Total Confirmed Cases,161325,Total Confirmed Cases
Guinea,G,18-May-22,Total Confirmed Cases,36661,Total Confirmed Cases
Guinea-Bissau,G,18-May-22,Total Confirmed Cases,8240,Total Confirmed Cases
Kenya,K,18-May-22,Total Confirmed Cases,324097,Total Confirmed Cases
